Timestamp,CPUUtilization,NetworkIn_MB,NetworkOut_MB,DiskReadBytes_MB,DiskWriteBytes_MB,DiskReadOps,DiskWriteOps,StatusCheckFailed,EBSBurstBalance_MB,EBSVolumeReadBytes_MB,EBSVolumeWriteBytes_MB,EBSVolumeReadOps,EBSVolumeWriteOps,EBSVolumeTotalIOs,EBSConsumedReadOps,EBSConsumedWriteOps,EBSConsumedIOs,EBSConsumedReadBytes_MB,EBSConsumedWriteBytes_MB,MemoryUtilization,DiskQueueLength,Latency_ms,RunningProcesses,ActiveConnections
2/17/2025 0:00,14.46,1.85,9.89,0.62,3.81,196,276,0,51.06,3.71,7.12,275,292,567,283,244,527,4.16,7.55,10.36,0.14,25.04,19,26
2/17/2025 0:05,21.26,8.65,31.07,1.29,3.08,131,214,0,80.06,8.17,9.05,314,158,472,284,179,464,6.61,9.49,17.49,0.86,4.38,24,91
2/17/2025 0:10,16.76,7.49,9.82,0.95,3.01,162,279,0,74.07,4.26,5.3,107,183,290,128,187,315,4.85,5.77,14.88,0.51,21.49,24,51
2/17/2025 0:15,21.65,17.48,21.36,1.22,9.57,63,358,0,40.32,5.74,4.13,236,320,556,263,379,642,5.99,4.55,15.67,0.2,6.93,26,56
2/17/2025 0:20,21.75,19.28,11.39,1.76,3.7,261,159,0,93.46,9.74,2.44,272,150,422,234,133,367,9.89,2.4,13.42,0.96,24.67,24,62
2/17/2025 0:25,24.34,5.25,25.34,1.91,10.1,197,257,0,90.23,4.76,8.89,141,150,291,164,156,320,5.62,10.4,21.13,0.35,17.7,21,53
2/17/2025 0:30,21.47,3.43,27.55,1.95,6.7,269,163,0,78.62,8.37,3.95,200,127,327,229,115,345,9.48,3.61,17.76,0.64,31.7,23,102
2/17/2025 0:35,25.21,16.79,30.19,1.05,12,277,169,0,49.01,7.41,11.75,283,267,550,301,294,596,8.29,10.24,21.41,0.62,22.6,25,54
2/17/2025 0:40,19.49,8.4,13.21,0.57,8.35,70,189,0,69.25,8.57,6.85,196,136,332,187,122,309,8.9,7.51,12.27,0.39,16.79,28,54
2/17/2025 0:45,15.69,12.07,16.56,1.53,3.49,98,269,0,56.56,7.57,6.59,263,313,576,253,272,526,6.52,6.3,12.69,0.37,25.63,19,8
